Path,Library,Start_line,End_line,Unchecked Func,Checked Func,Safety Conditions,Safety Condition Category,User visible,Flag,Safe_start_line,Safe_end_line,Counterpart status,Checked-side note,Normalized Family,Normalization Rationale
rust/library/core/src/ffi/c_str.rs,Cstr,388,418,"    pub const unsafe fn from_bytes_with_nul_unchecked(bytes: &[u8]) -> &CStr {
        const_eval_select!(
            @capture { bytes: &[u8] } -> &CStr:
            if const {
                // Saturating so that an empty slice panics in the assert with a good
                // message, not here due to underflow.
                let mut i = bytes.len().saturating_sub(1);
                assert!(!bytes.is_empty() && bytes[i] == 0, ""input was not nul-terminated"");

                // Ending nul byte exists, skip to the rest.
                while i != 0 {
                    i -= 1;
                    let byte = bytes[i];
                    assert!(byte != 0, ""input contained interior nul"");
                }

                // SAFETY: See runtime cast comment below.
                unsafe { &*(bytes as *const [u8] as *const CStr) }
            } else {
                // Chance at catching some UB at runtime with debug builds.
                debug_assert!(!bytes.is_empty() && bytes[bytes.len() - 1] == 0);

                // SAFETY: Casting to CStr is safe because its internal representation
                // is a [u8] too (safe only inside std).
                // Dereferencing the obtained pointer is safe because it comes from a
                // reference. Making a reference is then safe because its lifetime
                // is bound by the lifetime of the given `bytes`.
                unsafe { &*(bytes as *const [u8] as *const CStr) }
            }
        )
    }","    pub const fn from_bytes_with_nul(bytes: &[u8]) -> Result<&Self, FromBytesWithNulError> {
        let nul_pos = memchr::memchr(0, bytes);
        match nul_pos {
            Some(nul_pos) if nul_pos + 1 == bytes.len() => {
                // SAFETY: We know there is only one nul byte, at the end
                // of the byte slice.
                Ok(unsafe { Self::from_bytes_with_nul_unchecked(bytes) })
            }
            Some(position) => Err(FromBytesWithNulError::InteriorNul { position }),
            None => Err(FromBytesWithNulError::NotNulTerminated),
        }
    }","保证字符串以空字符结尾,并且没有其他的空字节",CString,Not recorded.,Not recorded.,351,362,confirmed_pair,Not recorded.,Content_Encoding_Validity,String / byte-buffer APIs validate content or encoding properties.
rust/library/core/src/str/mod.rs,null,316,319,"    pub const unsafe fn from_utf8_unchecked(v: &[u8]) -> &str {
        // SAFETY: converts::from_utf8_unchecked has the same safety requirements as this function.
        unsafe { converts::from_utf8_unchecked(v) }
    }","    pub const fn from_utf8(v: &[u8]) -> Result<&str, Utf8Error> {
        converts::from_utf8(v)
    }",同14行,String,Not recorded.,Not recorded.,251,253,confirmed_pair,Not recorded.,Content_Encoding_Validity,String / byte-buffer APIs validate content or encoding properties.
rust/library/core/src/str/mod.rs,null,341,344,"    pub const unsafe fn from_utf8_unchecked_mut(v: &mut [u8]) -> &mut str {
        // SAFETY: converts::from_utf8_unchecked_mut has the same safety requirements as this function.
        unsafe { converts::from_utf8_unchecked_mut(v) }
    }","    pub const fn from_utf8_mut(v: &mut [u8]) -> Result<&mut str, Utf8Error> {
        converts::from_utf8_mut(v)
    }",同15行,String,Not recorded.,Not recorded.,284,286,confirmed_pair,Not recorded.,Content_Encoding_Validity,String / byte-buffer APIs validate content or encoding properties.
rust/library/core/src/str/converts.rs,str,178,182,"pub const unsafe fn from_utf8_unchecked(v: &[u8]) -> &str {
    // SAFETY: the caller must guarantee that the bytes `v` are valid UTF-8.
    // Also relies on `&str` and `&[u8]` having the same layout.
    unsafe { mem::transmute(v) }
}","pub const fn from_utf8(v: &[u8]) -> Result<&str, Utf8Error> {
    // FIXME(const-hack): This should use `?` again, once it's `const`
    match run_utf8_validation(v) {
        Ok(_) => {
            // SAFETY: validation succeeded.
            Ok(unsafe { from_utf8_unchecked(v) })
        }
        Err(err) => Err(err),
    }
}",必须保证str数组中的每一个字节都是UTF-8类型,String,Not recorded.,Not recorded.,89,98,confirmed_pair,Not recorded.,Content_Encoding_Validity,String / byte-buffer APIs validate content or encoding properties.
rust/library/core/src/str/converts.rs,str,208,214,"pub const unsafe fn from_utf8_unchecked_mut(v: &mut [u8]) -> &mut str {
    // SAFETY: the caller must guarantee that the bytes `v`
    // are valid UTF-8, thus the cast to `*mut str` is safe.
    // Also, the pointer dereference is safe because that pointer
    // comes from a reference which is guaranteed to be valid for writes.
    unsafe { &mut *(v as *mut [u8] as *mut str) }
}","pub const fn from_utf8_mut(v: &mut [u8]) -> Result<&mut str, Utf8Error> {
    // FIXME(const-hack): This should use `?` again, once it's `const`
    match run_utf8_validation(v) {
        Ok(_) => {
            // SAFETY: validation succeeded.
            Ok(unsafe { from_utf8_unchecked_mut(v) })
        }
        Err(err) => Err(err),
    }
}",必须保证str数组中的每一个字节都是UTF-8类型,String,Not recorded.,Not recorded.,135,144,confirmed_pair,Not recorded.,Content_Encoding_Validity,String / byte-buffer APIs validate content or encoding properties.
rust/library/std/src/sys/os_str/wtf8.rs,buf,87,89,"    pub unsafe fn from_encoded_bytes_unchecked(s: Vec<u8>) -> Self {
        unsafe { Self { inner: Wtf8Buf::from_bytes_unchecked(s) } }
    }",未找到相关safe,Not recorded.,buf,Not recorded.,Not recorded.,?,?,unsafe_entry_only_or_unclear_pair,未找到相关safe,Content_Encoding_Validity,String / byte-buffer APIs validate content or encoding properties.
rust/library/std/src/sys/os_str/wtf8.rs,buf,87,89,"    pub unsafe fn from_encoded_bytes_unchecked(s: Vec<u8>) -> Self {
        unsafe { Self { inner: Wtf8Buf::from_bytes_unchecked(s) } }
    }",未找到相关safe,Not recorded.,buf,Not recorded.,Not recorded.,?,?,unsafe_entry_only_or_unclear_pair,未找到相关safe,Content_Encoding_Validity,String / byte-buffer APIs validate content or encoding properties.
rust/library/std/src/sys/os_str/bytes.rs,os_str/buf,90,92,"    pub unsafe fn from_encoded_bytes_unchecked(s: Vec<u8>) -> Self {
        Self { inner: s }
    }",未找到相关safe,Not recorded.,buf,Not recorded.,Not recorded.,?,?,unsafe_entry_only_or_unclear_pair,未找到相关safe,Content_Encoding_Validity,String / byte-buffer APIs validate content or encoding properties.
rust/library/std/src/ffi/os_str.rs,buf,184,186,"    pub unsafe fn from_encoded_bytes_unchecked(bytes: Vec<u8>) -> Self {
        OsString { inner: unsafe { Buf::from_encoded_bytes_unchecked(bytes) } }
    }",未找到相关safe,Not recorded.,complex,Not recorded.,Not recorded.,?,?,unsafe_entry_only_or_unclear_pair,未找到相关safe,Content_Encoding_Validity,These APIs validate UTF-8 / encoded-byte / C-string style content constraints.
rust/library/alloc/src/ffi/c_str.rs,Cstring,340,343,"    pub unsafe fn from_vec_unchecked(v: Vec<u8>) -> Self {
        debug_assert!(memchr::memchr(0, &v).is_none());
        unsafe { Self::_from_vec_unchecked(v) }
    }",未找到相关safe,Not recorded.,complex,Not recorded.,Not recorded.,?,?,unsafe_entry_only_or_unclear_pair,未找到相关safe,Content_Encoding_Validity,These APIs validate UTF-8 / encoded-byte / C-string style content constraints.
