Location,Unsafe Name,Safe Name,Safety Family,Benchmark Status,Benchmark Note,Safe Source,Unsafe Source,Safety Condition
rust/library/core/src/array/ascii.rs:39,as_ascii_unchecked,as_ascii,Value_Validity_and_Representability,candidate,Same-file safe counterpart found; suitable for group-internal benchmark discussion.,    pub const fn as_ascii(&self) -> Option<&[ascii::Char;,    pub const unsafe fn as_ascii_unchecked(&self) -> &[ascii::Char;,"Every byte in the array must be in `0..=127`, or else this is UB."
rust/library/core/src/ascii/ascii_char.rs:478,from_u8_unchecked,from_u8,Value_Validity_and_Representability,candidate,Same-file safe counterpart found; suitable for group-internal benchmark discussion.,"    pub const fn from_u8(b: u8) -> Option<Self> {
        if b <= 127 {
            // SAFETY: Just checked that `b` is in-range
            Some(unsafe { Self::from_u8_unchecked(b) })
        } else {
            None
        }
    }","    pub const unsafe fn from_u8_unchecked(b: u8) -> Self {
        // SAFETY: Our safety precondition is that `b` is in-range.
        unsafe { transmute(b) }
    }","`b` must be in `0..=127`, or else this is UB."
rust/library/core/src/ascii/ascii_char.rs:516,digit_unchecked,digit,Value_Validity_and_Representability,candidate,Same-file safe counterpart found; suitable for group-internal benchmark discussion.,"    pub const fn digit(d: u8) -> Option<Self> {
        if d < 10 {
            // SAFETY: Just checked it's in-range.
            Some(unsafe { Self::digit_unchecked(d) })
        } else {
            None
        }
    }","    pub const unsafe fn digit_unchecked(d: u8) -> Self {
        assert_unsafe_precondition!(
            check_library_ub,
            ""`ascii::Char::digit_unchecked` input cannot exceed 9."",
            (d: u8 = d) => d < 10
        );

        // SAFETY: `'0'` through `'9'` are U+00030 through U+0039,
        // so because `d` must be 64 or less the addition can return at most
        // 112 (0x70), which doesn't overflow and is within the ASCII range.
        unsafe {
            let byte = b'0'.unchecked_add(d);
            Self::from_u8_unchecked(byte)
        }
    }","This is immediate UB if called with `d > 64`. If `d >= 10` and `d <= 64`, this is allowed to return any value or panic. Notably, it should not be expected to return hex digits, or any other reasonable extension of the decimal digits. (This loose safety condition is intended to simplify soundness proofs when writing code using this method, since the implementation doesn't need something really specific, not to make those other arguments do something useful. It might be tightened before stabilization.)"
rust/library/core/src/char/methods.rs:1456,as_ascii_unchecked,as_ascii,Value_Validity_and_Representability,candidate,Same-file safe counterpart found; suitable for group-internal benchmark discussion.,"    pub const fn as_ascii(&self) -> Option<ascii::Char> {
        if self.is_ascii() {
            // SAFETY: Just checked that this is ASCII.
            Some(unsafe { ascii::Char::from_u8_unchecked(*self as u8) })
        } else {
            None
        }
    }","    pub const unsafe fn as_ascii_unchecked(&self) -> ascii::Char {
        assert_unsafe_precondition!(
            check_library_ub,
            ""as_ascii_unchecked requires that the char is valid ASCII"",
            (it: &char = self) => it.is_ascii()
        );

        // SAFETY: the caller promised that this char is ASCII.
        unsafe { ascii::Char::from_u8_unchecked(*self as u8) }
    }","This char must be within the ASCII range, or else this is UB."
rust/library/core/src/char/methods.rs:237,from_u32_unchecked,from_u32,Value_Validity_and_Representability,candidate,Same-file safe counterpart found; suitable for group-internal benchmark discussion.,"    pub const fn from_u32(i: u32) -> Option<char> {
        super::convert::from_u32(i)
    }","    pub const unsafe fn from_u32_unchecked(i: u32) -> char {
        // SAFETY: the safety contract must be upheld by the caller.
        unsafe { super::convert::from_u32_unchecked(i) }
    }","This function is unsafe, as it may construct invalid `char` values. For a safe version of this function, see the [`from_u32`] function. [`from_u32`]: #method.from_u32"
rust/library/core/src/char/mod.rs:141,from_u32_unchecked,from_u32,Value_Validity_and_Representability,candidate,Same-file safe counterpart found; suitable for group-internal benchmark discussion.,"pub const fn from_u32(i: u32) -> Option<char> {
    self::convert::from_u32(i)
}","pub const unsafe fn from_u32_unchecked(i: u32) -> char {
    // SAFETY: the safety contract must be upheld by the caller.
    unsafe { self::convert::from_u32_unchecked(i) }
}","Converts a `u32` to a `char`, ignoring validity"
rust/library/core/src/mem/alignment.rs:155,new_unchecked,new,Value_Validity_and_Representability,candidate,Same-file safe counterpart found; suitable for group-internal benchmark discussion.,"    pub const fn new(align: usize) -> Option<Self> {
        if align.is_power_of_two() {
            // SAFETY: Just checked it only has one bit set
            Some(unsafe { Self::new_unchecked(align) })
        } else {
            None
        }
    }","    pub const unsafe fn new_unchecked(align: usize) -> Self {
        assert_unsafe_precondition!(
            check_language_ub,
            ""Alignment::new_unchecked requires a power of two"",
            (align: usize = align) => align.is_power_of_two()
        );

        // SAFETY: By precondition, this must be a power of two, and
        // our variants encompass all possible powers of two.
        unsafe { mem::transmute::<usize, Alignment>(align) }
    }","`align` must be a power of two. Equivalently, it must be `1 << exp` for some `exp` in `0..usize::BITS`. It must *not* be zero."
rust/library/core/src/num/mod.rs:607,as_ascii_unchecked,as_ascii,Value_Validity_and_Representability,candidate,Same-file safe counterpart found; suitable for group-internal benchmark discussion.,"    pub const fn as_ascii(&self) -> Option<ascii::Char> {
        ascii::Char::from_u8(*self)
    }","    pub const unsafe fn as_ascii_unchecked(&self) -> ascii::Char {
        assert_unsafe_precondition!(
            check_library_ub,
            ""as_ascii_unchecked requires that the byte is valid ASCII"",
            (it: &u8 = self) => it.is_ascii()
        );

        // SAFETY: the caller promised that this byte is ASCII.
        unsafe { ascii::Char::from_u8_unchecked(*self) }
    }","This byte must be valid ASCII, or else this is UB."
rust/library/core/src/num/nonzero.rs:419,new_unchecked,new,Value_Validity_and_Representability,candidate,Same-file safe counterpart found; suitable for group-internal benchmark discussion.,"    pub const fn new(n: T) -> Option<Self> {
        // SAFETY: Memory layout optimization guarantees that `Option<NonZero<T>>` has
        //         the same layout and size as `T`, with `0` representing `None`.
        unsafe { intrinsics::transmute_unchecked(n) }
    }","    pub const unsafe fn new_unchecked(n: T) -> Self {
        match Self::new(n) {
            Some(n) => n,
            None => {
                // SAFETY: The caller guarantees that `n` is non-zero, so this is unreachable.
                unsafe {
                    ub_checks::assert_unsafe_precondition!(
                        check_language_ub,
                        ""NonZero::new_unchecked requires the argument to be non-zero"",
                        () => false,
                    );
                    intrinsics::unreachable()
                }
            }
        }
    }",The value must not be zero.
rust/library/core/src/num/nonzero.rs:460,from_mut_unchecked,from_mut,Value_Validity_and_Representability,candidate,Same-file safe counterpart found; suitable for group-internal benchmark discussion.,"    pub fn from_mut(n: &mut T) -> Option<&mut Self> {
        // SAFETY: Memory layout optimization guarantees that `Option<NonZero<T>>` has
        //         the same layout and size as `T`, with `0` representing `None`.
        let opt_n = unsafe { &mut *(ptr::from_mut(n).cast::<Option<Self>>()) };

        opt_n.as_mut()
    }","    pub unsafe fn from_mut_unchecked(n: &mut T) -> &mut Self {
        match Self::from_mut(n) {
            Some(n) => n,
            None => {
                // SAFETY: The caller guarantees that `n` references a value that is non-zero, so this is unreachable.
                unsafe {
                    ub_checks::assert_unsafe_precondition!(
                        check_library_ub,
                        ""NonZero::from_mut_unchecked requires the argument to dereference as non-zero"",
                        () => false,
                    );
                    intrinsics::unreachable()
                }
            }
        }
    }",The referenced value must not be zero.
rust/library/core/src/ptr/non_null.rs:233,new_unchecked,new,Value_Validity_and_Representability,candidate,Same-file safe counterpart found; suitable for group-internal benchmark discussion.,"    pub const fn new(ptr: *mut T) -> Option<Self> {
        if !ptr.is_null() {
            // SAFETY: The pointer is already checked and is not null
            Some(unsafe { Self::new_unchecked(ptr) })
        } else {
            None
        }
    }","    pub const unsafe fn new_unchecked(ptr: *mut T) -> Self {
        // SAFETY: the caller must guarantee that `ptr` is non-null.
        unsafe {
            assert_unsafe_precondition!(
                check_language_ub,
                ""NonNull::new_unchecked requires that the pointer is non-null"",
                (ptr: *mut () = ptr as *mut ()) => !ptr.is_null()
            );
            transmute(ptr)
        }
    }",`ptr` must be non-null.
rust/library/core/src/slice/ascii.rs:45,as_ascii_unchecked,as_ascii,Value_Validity_and_Representability,candidate,Same-file safe counterpart found; suitable for group-internal benchmark discussion.,"    pub const fn as_ascii(&self) -> Option<&[ascii::Char]> {
        if self.is_ascii() {
            // SAFETY: Just checked that it's ASCII
            Some(unsafe { self.as_ascii_unchecked() })
        } else {
            None
        }
    }","    pub const unsafe fn as_ascii_unchecked(&self) -> &[ascii::Char] {
        let byte_ptr: *const [u8] = self;
        let ascii_ptr = byte_ptr as *const [ascii::Char];
        // SAFETY: The caller promised all the bytes are ASCII
        unsafe { &*ascii_ptr }
    }","Every byte in the slice must be in `0..=127`, or else this is UB."
