Path,Library,Start_line,End_line,Unchecked Func,Checked Func,Safety Conditions,Safety Condition Category,User visible,Flag,Safe_start_line,Safe_end_line,Counterpart status,Checked-side note,Normalized Family,Normalization Rationale
rust/library/core/src/char/methods.rs,char,237,240,"    pub const unsafe fn from_u32_unchecked(i: u32) -> char {
        // SAFETY: the safety contract must be upheld by the caller.
        unsafe { super::convert::from_u32_unchecked(i) }
    }","    pub const fn from_u32(i: u32) -> Option<char> {
        super::convert::from_u32(i)
    }",u32类型参数在所在unicode码表中,index,Not recorded.,Not recorded.,196,198,confirmed_pair,Not recorded.,Value_Validity,These APIs check scalar validity such as Unicode scalar ranges or alignment validity.
rust/library/core/src/char/mod.rs,char,141,144,"pub const unsafe fn from_u32_unchecked(i: u32) -> char {
    // SAFETY: the safety contract must be upheld by the caller.
    unsafe { self::convert::from_u32_unchecked(i) }
}","pub const fn from_u32(i: u32) -> Option<char> {
    self::convert::from_u32(i)
}",u32类型参数在所在unicode码表中,index,Not recorded.,Not recorded.,131,133,confirmed_pair,Not recorded.,Value_Validity,These APIs check scalar validity such as Unicode scalar ranges or alignment validity.
../../refs/rust/library/core/src/ptr/alignment.rs,ptr,76,86,"pub const unsafe fn new_unchecked(align: usize) -> Self {
        assert_unsafe_precondition!(
            check_language_ub,
            ""Alignment::new_unchecked requires a power of two"",
            (align: usize = align) => align.is_power_of_two()
        );

        // SAFETY: By precondition, this must be a power of two, and
        // our variants encompass all possible powers of two.
        unsafe { mem::transmute::<usize, Alignment>(align) }
    }","pub const fn new(align: usize) -> Option<Self> {
        if align.is_power_of_two() {
            // SAFETY: Just checked it only has one bit set
            Some(unsafe { Self::new_unchecked(align) })
        } else {
            None
        }
    }",对齐参数必须为2的幂并且不能为0,index,Not recorded.,Not recorded.,?,?,unsafe_entry_only_or_unclear_pair,Not recorded.,Value_Validity,These APIs check scalar validity such as Unicode scalar ranges or alignment validity.
../../refs/rust/library/std/src/sys_common/wtf8.rs,Unicode./char,60,62,"pub unsafe fn from_u32_unchecked(value: u32) -> CodePoint {
        CodePoint { value }
    }","pub fn from_u32(value: u32) -> Option<CodePoint> {
        match value {
            0..=0x10FFFF => Some(CodePoint { value }),
            _ => None,
        }
    }",安全条件是value范围在特定范围内,index,Not recorded.,Not recorded.,?,?,unsafe_entry_only_or_unclear_pair,Not recorded.,Value_Validity,These APIs check scalar validity such as Unicode scalar ranges or alignment validity.
rust/library/std/src/sys/pal/itron/spin.rs,itron,87,91,"    pub unsafe fn get_unchecked(&self) -> (abi::ID, &T) {
        (self.id.load(Ordering::Acquire) as abi::ID, unsafe {
            (&*self.extra.get()).assume_init_ref()
        })
    }","    pub fn get(&self) -> Option<(abi::ID, &T)> {
        match self.id.load(Ordering::Acquire) {
            ID_UNINIT => None,
            id => Some((id as abi::ID, unsafe { (&*self.extra.get()).assume_init_ref() })),
        }
    }","RTOS的自旋锁相关, 暂不了解",itron,Not recorded.,Not recorded.,71,76,confirmed_pair,Not recorded.,Value_Validity,These APIs mainly require non-null / valid handle-like values.
rust/library/std/src/sys/pal/itron/spin.rs,itron,95,105,"    pub unsafe fn set_unchecked(&self, (id, extra): (abi::ID, T)) {
        debug_assert!(self.get().is_none());

        // Assumption: A positive `abi::ID` fits in `usize`.
        debug_assert!(id >= 0);
        debug_assert!(usize::try_from(id).is_ok());
        let id = id as usize;

        unsafe { *self.extra.get() = MaybeUninit::new(extra) };
        self.id.store(id, Ordering::Release);
    }",未找到相关safe,Not recorded.,itron,Not recorded.,Not recorded.,?,?,unsafe_entry_only_or_unclear_pair,未找到相关safe,Value_Validity,These APIs mainly require non-null / valid handle-like values.
rust/library/core/src/num/niche_types.rs,algorithm,40,43,"            pub const unsafe fn new_unchecked(val: $int) -> Self {
                // SAFETY: Caller promised that `val` is within the valid range.
                unsafe { crate::mem::transmute(val) }
            }","            pub const fn new(val: $int) -> Option<Self> {
                #[allow(non_contiguous_range_endpoints)]
                if let $pat = val {
                    // SAFETY: just checked that the value matches the pattern
                    Some(unsafe { $name(crate::mem::transmute(val)) })
                } else {
                    None
                }
            }",确保参数nonzero,nonzero,Not recorded.,Not recorded.,23,31,confirmed_pair,Not recorded.,Value_Validity,"These APIs check local value validity such as non-null, non-zero, or related invariants."
rust/library/core/src/ptr/const_ptr.rs,ptr,297,300,"    pub const unsafe fn as_ref_unchecked<'a>(self) -> &'a T {
        // SAFETY: the caller must guarantee that `self` is valid for a reference
        unsafe { &*self }
    }","pub const unsafe fn as_ref<'a>(self) -> Option<&'a T> {
        // SAFETY: the caller must guarantee that `self` is valid
        // for a reference if it isn't null.
        if self.is_null() { None } else { unsafe { Some(&*self) } }
    }","必须保证self是合法的, 不是空指针",nullptr,Not recorded.,Not recorded.,?,?,unsafe_entry_only_or_unclear_pair,Not recorded.,Value_Validity,"These APIs check local value validity such as non-null, non-zero, or related invariants."
rust/library/core/src/ptr/mut_ptr.rs,ptr,618,621,"    pub const unsafe fn as_mut_unchecked<'a>(self) -> &'a mut T {
        // SAFETY: the caller must guarantee that `self` is valid for a reference
        unsafe { &mut *self }
    }","pub const unsafe fn as_ref<'a>(self) -> Option<&'a T> {
        // SAFETY: the caller must guarantee that `self` is valid for a
        // reference if it isn't null.
        if self.is_null() { None } else { unsafe { Some(&*self) } }
    }",必须保证参数ptr是非空的,nullptr,Not recorded.,Not recorded.,?,?,unsafe_entry_only_or_unclear_pair,Not recorded.,Value_Validity,"These APIs check local value validity such as non-null, non-zero, or related invariants."
rust/library/core/src/ptr/mut_ptr.rs,ptr,295,298,"    pub const unsafe fn as_ref_unchecked<'a>(self) -> &'a T {
        // SAFETY: the caller must guarantee that `self` is valid for a reference
        unsafe { &*self }
    }","pub const unsafe fn as_ref<'a>(self) -> Option<&'a T> {
        // SAFETY: the caller must guarantee that `self` is valid for a
        // reference if it isn't null.
        if self.is_null() { None } else { unsafe { Some(&*self) } }
    }",必须保证参数ptr是非空的,nullptr,Not recorded.,Not recorded.,?,?,unsafe_entry_only_or_unclear_pair,Not recorded.,Value_Validity,"These APIs check local value validity such as non-null, non-zero, or related invariants."
